t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,1.8,1,0,0,0.16843,0.98571,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.073563,0.073638,0.073638,0.073563,0,0,0,1.8857,0.66591,-0.0089377
0.01,7.824e-10,1.8,1,-8.4824e-07,4.9842e-06,0.16843,0.98571,3.1263e-07,1.0996e-07,3.3999e-05,3.0209e-06,0.0020146,8.504e-12,9.3622e-05,3.2887e-05,0.0033996,0,0,0,0.073564,0.073637,0.073637,0.073564,0.018658,0.0065366,-8.8678e-05,1.846,0.64145,-0.0087981
0.02,1.2465e-08,1.8,1,-3.334e-06,1.979e-05,0.16843,0.98571,2.4878e-06,8.7156e-07,6.7988e-05,1.6018e-05,0.0039829,1.3492e-10,0.00037185,0.00012992,0.0033982,0,0,0,0.073564,0.073637,0.073636,0.073565,0.036921,0.01283,-0.00017597,1.8066,0.6173,-0.0086595
0.03,6.2838e-08,1.8,1,-7.3698e-06,4.4199e-05,0.16843,0.98571,8.3517e-06,2.9142e-06,0.00010196,3.8822e-05,0.0059055,6.7725e-10,0.00083073,0.00028869,0.003396,0,0,0,0.073565,0.073636,0.073635,0.073566,0.054791,0.018883,-0.00026187,1.7676,0.59344,-0.008522
0.04,1.9776e-07,1.8,1,-1.2869e-05,7.7995e-05,0.16843,0.98571,1.9692e-05,6.8431e-06,0.00013591,7.1263e-05,0.0077826,2.1224e-09,0.0014664,0.0005068,0.003393,0,0,0,0.073566,0.073635,0.073634,0.073567,0.072273,0.0247,-0.00034641,1.7289,0.56988,-0.0083855
0.05,4.8075e-07,1.8,1,-1.9747e-05,0.00012096,0.16843,0.98571,3.8255e-05,1.324e-05,0.00016982,0.00011318,0.0096149,5.1376e-09,0.0022749,0.0007819,0.0033891,0,0,0,0.073566,0.073635,0.073633,0.073568,0.08937,0.030282,-0.00042959,1.6905,0.54662,-0.00825
0.06,9.9265e-07,1.8,1,-2.792e-05,0.00017289,0.16843,0.98571,6.5753e-05,2.2663e-05,0.00020369,0.00016439,0.011403,1.0563e-08,0.0032525,0.0011117,0.0033844,0,0,0,0.073567,0.073634,0.073632,0.073569,0.10608,0.035633,-0.00051141,1.6525,0.52366,-0.0081156
0.07,1.8312e-06,1.8,1,-3.7305e-05,0.00023357,0.16843,0.98571,0.00010386,3.5648e-05,0.0002375,0.00022474,0.013146,1.9402e-08,0.0043953,0.0014938,0.0033789,0,0,0,0.073567,0.073633,0.073631,0.07357,0.12242,0.040756,-0.0005919,1.6149,0.50099,-0.0079822
0.08,3.1106e-06,1.8,1,-4.782e-05,0.00030278,0.16843,0.98571,0.0001542,5.2707e-05,0.00027126,0.00029407,0.014846,3.2818e-08,0.0056997,0.001926,0.0033726,0,0,0,0.073568,0.073633,0.07363,0.073571,0.13838,0.045654,-0.00067106,1.5776,0.47861,-0.0078498
0.09,4.9613e-06,1.8,1,-5.9385e-05,0.00038034,0.16843,0.98571,0.00021838,7.4329e-05,0.00030495,0.0003722,0.016503,5.2118e-08,0.0071618,0.0024062,0.0033655,0,0,0,0.073569,0.073632,0.073629,0.073572,0.15398,0.05033,-0.0007489,1.5407,0.45653,-0.0077184
