t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0034,0,0,0,0.10063,0.10054,0.10054,0.10063,0,0,0,-2.4323,0.044432,-0.0015024
0.01,0.01,1.8872e-11,1,-1.1684e-07,-6.1545e-06,3.789e-09,1,1,7.5846e-09,3.4e-05,-4.7464e-05,-0.0024535,5.4473e-12,-0.00012079,2.2932e-06,0.0033999,0,0,0,0.10063,0.10054,0.10054,0.10063,-0.024077,0.00046578,-1.5914e-05,-2.3831,0.04871,-0.0016799
0.02,0.02,3.0766e-10,1,-4.8183e-07,-2.4452e-05,3.1029e-08,1,1,6.21e-08,6.7998e-05,-9.9245e-05,-0.0048571,8.6395e-11,-0.00047991,9.4568e-06,0.0033997,0,0,0,0.10063,0.10054,0.10054,0.10063,-0.047664,0.00097392,-3.3591e-05,-2.3344,0.052905,-0.0018552
0.03,0.03,1.5862e-09,1,-1.1163e-06,-5.4643e-05,1.0713e-07,1,0.99999,2.1435e-07,0.00010199,-0.00015526,-0.0072112,4.3354e-10,-0.0010725,2.191e-05,0.0033992,0,0,0,0.10063,0.10054,0.10055,0.10063,-0.070767,0.0015236,-5.3011e-05,-2.2861,0.057018,-0.0020283
0.04,0.04,5.1033e-09,1,-2.0414e-06,-9.6482e-05,2.5958e-07,1,0.99997,5.1931e-07,0.00013598,-0.00021543,-0.0095164,1.3582e-09,-0.0018936,4.0065e-05,0.0033986,0,0,0,0.10063,0.10054,0.10055,0.10063,-0.093388,0.002114,-7.415e-05,-2.2383,0.061048,-0.0021992
0.05,0.049999,1.2678e-08,1,-3.2774e-06,-0.00014973,5.1796e-07,1,0.99995,1.036e-06,0.00016996,-0.00027966,-0.011773,3.2866e-09,-0.0029386,6.4323e-05,0.0033978,0,0,0,0.10063,0.10054,0.10055,0.10063,-0.11553,0.0027443,-9.6987e-05,-2.1908,0.064996,-0.0023679
0.06,0.059999,2.6739e-08,1,-4.8446e-06,-0.00021413,9.1385e-07,1,0.99992,1.8274e-06,0.00020394,-0.00034788,-0.013981,6.7549e-09,-0.0042027,9.5081e-05,0.0033967,0,0,0,0.10063,0.10055,0.10055,0.10063,-0.13721,0.0034137,-0.0001215,-2.1438,0.068863,-0.0025343
0.07,0.069998,5.0365e-08,1,-6.7628e-06,-0.00028946,1.4808e-06,1,0.99987,2.9606e-06,0.0002379,-0.00042001,-0.016142,1.2404e-08,-0.0056812,0.00013272,0.0033953,0,0,0,0.10063,0.10055,0.10055,0.10063,-0.15841,0.0041213,-0.00014767,-2.0972,0.072649,-0.0026986
0.08,0.079996,8.7324e-08,1,-9.0513e-06,-0.00037548,2.2545e-06,1,0.9998,4.5061e-06,0.00027184,-0.00049597,-0.018256,2.0972e-08,-0.0073694,0.00017763,0.0033937,0,0,0,0.10063,0.10055,0.10055,0.10062,-0.17915,0.0048664,-0.00017546,-2.051,0.076355,-0.0028607
0.09,0.089994,1.4211e-07,1,-1.1729e-05,-0.00047194,3.2722e-06,1,0.99972,6.5386e-06,0.00030577,-0.00057569,-0.020322,3.3295e-08,-0.0092627,0.00023017,0.0033918,0,0,0,0.10063,0.10055,0.10055,0.10062,-0.19943,0.0056481,-0.00020487,-2.0052,0.07998,-0.0030206
0.1,0.09999,2.1998e-07,1,-1.4815e-05,-0.00057862,4.5734e-06,1,0.99961,9.1363e-06,0.00033968,-0.00065907,-0.022343,5.0295e-08,-0.011357,0.00029071,0.0033896,0,0,0,0.10063,0.10055,0.10055,0.10062,-0.21926,0.0064657,-0.00023587,-1.9599,0.083526,-0.0031784
0.11,0.10999,3.2699e-07,1,-1.8326e-05,-0.00069529,6.1994e-06,1,0.99949,1.2381e-05,0.00037356,-0.00074606,-0.024317,7.2979e-08,-0.013646,0.00035961,0.0033871,0,0,0,0.10063,0.10055,0.10055,0.10062,-0.23863,0.0073184,-0.00026843,-1.9149,0.086993,-0.003334
0.12,0.11998,4.7004e-07,1,-2.2282e-05,-0.00082171,8.1933e-06,1,0.99934,1.6357e-05,0.00040742,-0.00083656,-0.026245,1.0243e-07,-0.016128,0.0004372,0.0033842,0,0,0,0.10062,0.10055,0.10055,0.10062,-0.25756,0.0082053,-0.00030254,-1.8704,0.090381,-0.0034875
0.13,0.12997,6.5687e-07,1,-2.6699e-05,-0.00095767,1.06e-05,1,0.99917,2.1155e-05,0.00044124,-0.00093052,-0.028129,1.3982e-07,-0.018796,0.00052382,0.003381,0,0,0,0.10062,0.10055,0.10055,0.10062,-0.27604,0.0091257,-0.00033818,-1.8263,0.09369,-0.0036388
0.14,0.13996,8.9617e-07,1,-3.1595e-05,-0.0011029,1.3466e-05,1,0.99896,2.6865e-05,0.00047504,-0.0010279,-0.029968,1.8638e-07,-0.021647,0.00061982,0.0033775,0,0,0,0.10062,0.10055,0.10056,0.10062,-0.29408,0.010079,-0.00037531,-1.7826,0.096922,-0.003788
0.15,0.14995,1.1975e-06,1,-3.6986e-05,-0.0012573,1.6841e-05,1,0.99873,3.3583e-05,0.00050879,-0.0011285,-0.031762,2.434e-07,-0.024676,0.00072551,0.0033735,0,0,0,0.10062,0.10055,0.10056,0.10062,-0.31169,0.011064,-0.00041393,-1.7393,0.10008,-0.0039351
0.16,0.15994,1.5715e-06,1,-4.2889e-05,-0.0014205,2.0774e-05,1,0.99847,4.1409e-05,0.00054251,-0.0012324,-0.033512,3.1224e-07,-0.027879,0.0008412,0.0033692,0,0,0,0.10062,0.10055,0.10056,0.10062,-0.32887,0.01208,-0.00045401,-1.6964,0.10315,-0.00408
0.17,0.16992,2.0297e-06,1,-4.932e-05,-0.0015923,2.5317e-05,1,0.99818,5.0442e-05,0.00057617,-0.0013394,-0.035219,3.9433e-07,-0.031252,0.00096721,0.0033644,0,0,0,0.10062,0.10055,0.10056,0.10062,-0.34562,0.013127,-0.00049552,-1.6539,0.10616,-0.0042229
0.18,0.1799,2.5847e-06,1.0001,-5.6295e-05,-0.0017726,3.0525e-05,1,0.99785,6.0788e-05,0.00060979,-0.0014496,-0.036883,4.9112e-07,-0.03479,0.0011038,0.0033593,0,0,0,0.10062,0.10056,0.10056,0.10062,-0.36195,0.014203,-0.00053846,-1.6119,0.10908,-0.0043636
0.19,0.18988,3.2502e-06,1.0001,-6.3829e-05,-0.0019611,3.6453e-05,1,0.99748,7.2555e-05,0.00064336,-0.0015627,-0.038504,6.0415e-07,-0.03849,0.0012514,0.0033537,0,0,0,0.10062,0.10056,0.10056,0.10062,-0.37786,0.015308,-0.00058279,-1.5702,0.11193,-0.0045023
0.2,0.19985,4.0409e-06,1.0001,-7.1938e-05,-0.0021576,4.3159e-05,1,0.99707,8.5853e-05,0.00067686,-0.0016788,-0.040083,7.3497e-07,-0.042346,0.0014101,0.0033476,0,0,0,0.10062,0.10056,0.10056,0.10061,-0.39336,0.016441,-0.0006285,-1.5289,0.1147,-0.0046389
0.21,0.20982,4.9728e-06,1.0001,-8.0636e-05,-0.0023618,5.0701e-05,1,0.99663,0.00010079,0.00071031,-0.0017979,-0.04162,8.852e-07,-0.046356,0.0015803,0.0033411,0,0,0,0.10062,0.10056,0.10056,0.10061,-0.40844,0.017602,-0.00067556,-1.488,0.1174,-0.0047734
0.22,0.21978,6.0627e-06,1.0001,-8.9938e-05,-0.0025737,5.9141e-05,1,0.99615,0.0001175,0.00074368,-0.0019197,-0.043116,1.0565e-06,-0.050514,0.0017622,0.0033341,0,0,0,0.10062,0.10056,0.10056,0.10061,-0.42312,0.018789,-0.00072396,-1.4475,0.12003,-0.0049058
0.23,0.22974,7.329e-06,1.0001,-9.9858e-05,-0.0027929,6.854e-05,1,0.99562,0.00013608,0.00077699,-0.0020443,-0.04457,1.2505e-06,-0.054817,0.0019562,0.0033266,0,0,0,0.10062,0.10056,0.10056,0.10061,-0.43739,0.020002,-0.00077367,-1.4075,0.12258,-0.0050362
0.24,0.2397,8.791e-06,1.0001,-0.00011041,-0.0030193,7.8964e-05,1,0.99505,0.00015666,0.00081022,-0.0021717,-0.045984,1.4689e-06,-0.05926,0.0021623,0.0033186,0,0,0,0.10062,0.10056,0.10056,0.10061,-0.45127,0.02124,-0.00082467,-1.3678,0.12506,-0.0051645
