t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,1,0,0,0.62657,0.77936,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.10056,0.10062,0.10062,0.10056,0,0,0,0.3613,1.651,0.0070003
0.01,1.5054e-10,6.8444e-10,1,-2.6737e-06,3.3305e-06,0.62657,0.77936,6.0215e-08,2.7343e-07,3.4001e-05,2.7087e-06,0.0017015,6.44e-12,1.8064e-05,8.1856e-05,0.0034003,0,0,0,0.10056,0.10062,0.10062,0.10056,0.0036128,0.016302,6.9471e-05,0.36125,1.6095,0.006894
0.02,2.4086e-09,1.0896e-08,1,-1.0586e-05,1.3234e-05,0.62657,0.77936,4.817e-07,2.1736e-06,6.8009e-05,1.4337e-05,0.003362,1.0192e-10,7.2253e-05,0.00032467,0.0034014,0,0,0,0.10056,0.10062,0.10062,0.10056,0.0072246,0.032192,0.00013788,0.36109,1.5685,0.0067883
0.03,1.2193e-08,5.4881e-08,1,-2.3574e-05,2.9579e-05,0.62657,0.77936,1.6256e-06,7.2897e-06,0.00010203,3.4691e-05,0.0049819,5.1039e-10,0.00016255,0.00072434,0.0034031,0,0,0,0.10056,0.10062,0.10062,0.10056,0.010834,0.047675,0.00020524,0.36085,1.528,0.006683
0.04,3.8533e-08,1.7257e-07,1,-4.1477e-05,5.2235e-05,0.62657,0.77936,3.853e-06,1.717e-05,0.00013607,6.3575e-05,0.0065615,1.5955e-09,0.00028893,0.0012768,0.0034055,0,0,0,0.10056,0.10062,0.10062,0.10056,0.014441,0.062754,0.00027154,0.3605,1.4879,0.0065783
0.05,9.4066e-08,4.1919e-07,1,-6.4139e-05,8.1072e-05,0.62657,0.77936,7.5244e-06,3.3322e-05,0.00017014,0.0001008,0.0081014,3.8529e-09,0.00045136,0.0019781,0.0034085,0,0,0,0.10056,0.10062,0.10061,0.10056,0.018044,0.077434,0.00033681,0.36006,1.4483,0.0064741
0.06,1.9504e-07,8.6482e-07,1,-9.1402e-05,0.00011596,0.62657,0.77936,1.3e-05,5.7214e-05,0.00020425,0.00014617,0.009602,7.9018e-09,0.0006498,0.0028242,0.0034122,0,0,0,0.10056,0.10062,0.10061,0.10056,0.021642,0.091721,0.00040103,0.35953,1.409,0.0063704
0.07,3.6128e-07,1.594e-06,1,-0.00012311,0.00015678,0.62657,0.77936,2.064e-05,9.0276e-05,0.00023839,0.00019949,0.011064,1.4478e-08,0.00088418,0.0038112,0.0034165,0,0,0,0.10056,0.10062,0.10061,0.10056,0.025234,0.10562,0.00046422,0.3589,1.3703,0.0062673
0.08,6.1625e-07,2.7055e-06,1,-0.00015912,0.0002034,0.62657,0.77936,3.0804e-05,0.0001339,0.00027258,0.00026059,0.012487,2.4428e-08,0.0011545,0.0049352,0.0034215,0,0,0,0.10056,0.10061,0.10061,0.10056,0.02882,0.11913,0.00052638,0.35818,1.3319,0.0061647
0.09,9.8696e-07,4.3117e-06,1,-0.00019927,0.00025569,0.62657,0.77936,4.3849e-05,0.00018942,0.00030682,0.00032926,0.013872,3.8697e-08,0.0014606,0.0061925,0.0034271,0,0,0,0.10056,0.10061,0.10061,0.10056,0.032398,0.13226,0.00058751,0.35736,1.294,0.0060626
