t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,2,0,1,0,0,0.79083,0.61203,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.073563,0.073638,0.073638,0.073563,0,0,0,-0.5016,1.9362,-0.0073766
0.01,2,8.0243e-10,1,-3.9939e-06,3.0907e-06,0.79083,0.61203,-8.3063e-08,3.2054e-07,3.3999e-05,-1.3791e-07,0.0020111,-3.8868e-13,-2.4865e-05,9.5949e-05,0.0033996,0,0,0,0.073564,0.073637,0.073637,0.073564,-0.0049516,0.019104,-7.3257e-05,-0.48875,1.8847,-0.007275
0.02,2,1.277e-08,1,-1.5835e-05,1.2252e-05,0.79083,0.61203,-6.6022e-07,2.5472e-06,6.799e-05,-7.3854e-07,0.0039684,-6.253e-12,-9.8606e-05,0.00038038,0.0033985,0,0,0,0.073565,0.073636,0.073636,0.073565,-0.0097755,0.037697,-0.0001455,-0.47604,1.8339,-0.0071739
0.03,2,6.4304e-08,1,-3.5312e-05,2.7318e-05,0.79083,0.61203,-2.2139e-06,8.5394e-06,0.00010197,-1.8069e-06,0.0058727,-3.1823e-11,-0.00021995,0.0008482,0.0033967,0,0,0,0.073566,0.073635,0.073635,0.073566,-0.014473,0.055784,-0.00021674,-0.46348,1.7836,-0.0070736
0.04,2,2.0214e-07,1,-6.222e-05,4.8126e-05,0.79083,0.61203,-5.2138e-06,2.0106e-05,0.00013592,-3.3481e-06,0.0077244,-1.0109e-10,-0.00038765,0.0014944,0.0033942,0,0,0,0.073567,0.073634,0.073634,0.073567,-0.019046,0.073371,-0.00028697,-0.45107,1.7338,-0.0069739
0.05,2,4.9087e-07,1,-9.6352e-05,7.4513e-05,0.79083,0.61203,-1.0117e-05,3.9005e-05,0.00016985,-5.3669e-06,0.0095241,-2.4802e-10,-0.00060045,0.002314,0.003391,0,0,0,0.073568,0.073633,0.073633,0.073568,-0.023495,0.090462,-0.00035622,-0.43881,1.6846,-0.0068748
0.06,2,1.0124e-06,1,-0.00013751,0.00010632,0.79083,0.61203,-1.7369e-05,6.6947e-05,0.00020374,-7.8681e-06,0.011272,-5.1674e-10,-0.00085714,0.003302,0.0033871,0,0,0,0.073569,0.073632,0.073632,0.073569,-0.027822,0.10706,-0.00042447,-0.42669,1.636,-0.0067765
0.07,2,1.8655e-06,1,-0.00018548,0.00014339,0.79083,0.61203,-2.7402e-05,0.00010559,0.00023759,-1.0856e-05,0.01297,-9.6172e-10,-0.0011565,0.0044536,0.0033825,0,0,0,0.07357,0.073631,0.073631,0.07357,-0.032029,0.12318,-0.00049175,-0.41472,1.5878,-0.0066788
0.08,2,3.1653e-06,1,-0.00024008,0.00018556,0.79083,0.61203,-4.0637e-05,0.00015655,0.00027139,-1.4336e-05,0.014617,-1.6479e-09,-0.0014973,0.0057641,0.0033773,0,0,0,0.073571,0.07363,0.07363,0.07357,-0.036117,0.13882,-0.00055805,-0.40289,1.5403,-0.0065817
0.09,2,5.0427e-06,1,-0.0003011,0.00023269,0.79083,0.61203,-5.7483e-05,0.00022139,0.00030513,-1.8313e-05,0.016215,-2.6509e-09,-0.0018785,0.0072285,0.0033713,0,0,0,0.073571,0.073629,0.073629,0.073571,-0.040088,0.15399,-0.00062339,-0.3912,1.4932,-0.0064853
0.1,2,7.6443e-06,1,-0.00036836,0.00028461,0.79083,0.61203,-7.8337e-05,0.00030162,0.00033881,-2.279e-05,0.017763,-4.0569e-09,-0.0022987,0.0088423,0.0033648,0,0,0,0.073572,0.073628,0.073628,0.073572,-0.043942,0.16869,-0.00068776,-0.37966,1.4467,-0.0063895
0.11,2,1.1131e-05,1,-0.00044166,0.00034118,0.79083,0.61203,-0.00010358,0.00039871,0.00037242,-2.7771e-05,0.019263,-5.9632e-09,-0.0027569,0.010601,0.0033576,0,0,0,0.073573,0.073627,0.073627,0.073573,-0.047681,0.18293,-0.00075118,-0.36826,1.4007,-0.0062944
0.12,2,1.568e-05,1,-0.00052081,0.00040224,0.79083,0.61203,-0.0001336,0.0005141,0.00040596,-3.3263e-05,0.020715,-8.4776e-09,-0.0032519,0.012499,0.0033498,0,0,0,0.073574,0.073626,0.073627,0.073574,-0.051307,0.19671,-0.00081365,-0.357,1.3553,-0.0061999
0.13,2,2.1479e-05,1,-0.00060562,0.00046765,0.79083,0.61203,-0.00016874,0.00064915,0.00043942,-3.9267e-05,0.02212,-1.1719e-08,-0.0037827,0.014533,0.0033413,0,0,0,0.073575,0.073625,0.073626,0.073575,-0.054822,0.21003,-0.00087518,-0.34588,1.3103,-0.0061061
0.14,2,2.8733e-05,1,-0.00069592,0.00053726,0.79083,0.61203,-0.00020937,0.0008052,0.00047279,-4.5789e-05,0.023478,-1.5818e-08,-0.004348,0.016699,0.0033323,0,0,0,0.073576,0.073625,0.073625,0.073575,-0.058226,0.22291,-0.00093577,-0.33491,1.2659,-0.006013
0.15,2,3.7657e-05,1,-0.00079123,0.00061129,0.79111,0.61167,-0.00025581,0.00098354,0.00050606,-3.022e-05,0.024789,-2.0915e-08,-0.0049468,0.01899,0.0033226,0,0,0,0.073576,0.073624,0.073624,0.073576,-0.06152,0.23535,-0.00099544,-0.32407,1.2221,-0.0059204
0.16,2,4.8482e-05,1,-0.00089188,0.00068895,0.79113,0.61164,-0.00030841,0.0011854,0.00053924,-3.4733e-05,0.026055,-2.7162e-08,-0.0055781,0.021404,0.0033124,0,0,0,0.073577,0.073623,0.073623,0.073577,-0.064707,0.24736,-0.0010542,-0.31337,1.1787,-0.0058285
