t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-1,-0.5,0.5,0,0,0.79254,0.60983,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.068658,0.068682,0.068682,0.068658,0,0,0,-0.24218,0.91121,0.33216
0.01,-1,-0.5,0.5,-1.8916e-06,1.4568e-06,0.79254,0.60983,-4.0048e-08,1.5118e-07,3.4055e-05,9.3395e-07,0.000952,1.2411e-12,-1.1983e-05,4.5286e-05,0.0034165,0,0,0,0.068658,0.068682,0.068682,0.068658,-0.0023841,0.0090297,0.0032932,-0.23465,0.89475,0.32648
0.02,-1,-0.5,0.5,-7.5121e-06,5.7986e-06,0.79254,0.60983,-3.1788e-07,1.204e-06,6.8439e-05,4.9555e-06,0.0018859,1.9709e-11,-4.7432e-05,0.00018005,0.0034657,0,0,0,0.068659,0.068682,0.068682,0.068659,-0.0046933,0.017895,0.0065297,-0.22721,0.8784,0.32084
0.03,-1,-0.5,0.5,-1.6781e-05,1.2982e-05,0.79254,0.60983,-1.0644e-06,4.0449e-06,0.00010348,1.2018e-05,0.0028017,9.9029e-11,-0.0001056,0.00040265,0.0035469,0,0,0,0.068659,0.068683,0.068682,0.06866,-0.0069285,0.026598,0.00971,-0.21985,0.86218,0.31524
0.04,-1,-0.5,0.5,-2.9617e-05,2.2965e-05,0.79254,0.60983,-2.5032e-06,9.5444e-06,0.00013948,2.2075e-05,0.0036997,3.1063e-10,-0.00018576,0.00071147,0.0036597,0,0,0,0.06866,0.068683,0.068683,0.068661,-0.0090905,0.035139,0.012835,-0.21257,0.84609,0.30967
0.05,-1,-0.5,0.5,-4.5941e-05,3.5705e-05,0.79254,0.60983,-4.8505e-06,1.8556e-05,0.00017677,3.5081e-05,0.0045799,7.5266e-10,-0.00028717,0.0011049,0.0038034,0,0,0,0.068662,0.068684,0.068684,0.068662,-0.01118,0.04352,0.015904,-0.20536,0.83011,0.30415
0.06,-1,-0.5,0.50001,-6.5674e-05,5.1158e-05,0.79254,0.60983,-8.3151e-06,3.1919e-05,0.00021565,5.0988e-05,0.0054424,1.5489e-09,-0.00040912,0.0015813,0.0039776,0,0,0,0.068663,0.068685,0.068685,0.068663,-0.013198,0.051742,0.018918,-0.19824,0.81426,0.29867
0.07,-1,-0.5,0.50001,-8.8737e-05,6.9284e-05,0.79254,0.60983,-1.3099e-05,5.0455e-05,0.00025642,6.9752e-05,0.0062875,2.8479e-09,-0.0005509,0.0021392,0.0041816,0,0,0,0.068665,0.068686,0.068686,0.068665,-0.015145,0.059806,0.021877,-0.19119,0.79853,0.29323
0.08,-1,-0.5,0.50001,-0.00011505,9.004e-05,0.79254,0.60983,-1.9397e-05,7.497e-05,0.00029938,9.1326e-05,0.0071152,4.8215e-09,-0.00071179,0.0027769,0.0044149,0,0,0,0.068666,0.068688,0.068687,0.068667,-0.017022,0.067713,0.024782,-0.18422,0.78293,0.28782
0.09,-1,-0.5,0.50001,-0.00014454,0.00011338,0.79254,0.60983,-2.7396e-05,0.00010625,0.00034482,0.00011566,0.0079256,7.6644e-09,-0.00089111,0.003493,0.0046771,0,0,0,0.068668,0.068689,0.068689,0.068669,-0.01883,0.075465,0.027634,-0.17733,0.76744,0.28246
