t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,0,0,0,0.27457,0.96157,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.073586,0.073615,0.073615,0.073586,0,0,0,0.6633,0.41192,0.67732
0.01,2.7528e-10,1.7117e-10,1.7028e-07,-5.4357e-07,1.901e-06,0.27457,0.96157,1.1e-07,6.8421e-08,3.4112e-05,-6.6032e-07,0.00078846,-7.2631e-13,3.2946e-05,2.0503e-05,0.0034336,0,0,0,0.073586,0.073615,0.073615,0.073586,0.0065675,0.0040912,0.0067049,0.65021,0.40633,0.66367
0.02,4.3871e-09,2.7312e-09,6.8448e-07,-2.1682e-06,7.5559e-06,0.27457,0.96157,8.7567e-07,5.455e-07,6.8894e-05,-3.4991e-06,0.0015626,-1.1514e-11,0.00013092,8.1639e-05,0.0035336,0,0,0,0.073587,0.073616,0.073616,0.073587,0.013005,0.0081266,0.013274,0.63724,0.40075,0.65014
0.03,2.2121e-08,1.3789e-08,1.5526e-06,-4.8646e-06,1.6893e-05,0.27457,0.96157,2.9407e-06,1.8348e-06,0.000105,-8.4758e-06,0.0023225,-5.7751e-11,0.00029261,0.00018285,0.0036987,0,0,0,0.073589,0.073616,0.073617,0.073589,0.019313,0.012106,0.019708,0.62437,0.3952,0.63672
0.04,6.9637e-08,4.3461e-08,2.7911e-06,-8.6236e-06,2.9842e-05,0.27457,0.96157,6.936e-06,4.3342e-06,0.00014308,-1.555e-05,0.0030683,-1.8083e-10,0.00051674,0.00032358,0.0039274,0,0,0,0.073591,0.073618,0.073618,0.073591,0.025492,0.016031,0.026009,0.61161,0.38967,0.62342
0.05,1.6934e-07,1.0582e-07,4.4228e-06,-1.3436e-05,4.633e-05,0.27457,0.96157,1.3479e-05,8.4363e-06,0.00018376,-2.4681e-05,0.0037999,-4.3737e-10,0.00080203,0.00050328,0.0042184,0,0,0,0.073593,0.07362,0.07362,0.073593,0.031545,0.0199,0.032177,0.59896,0.38416,0.61023
0.06,3.4974e-07,2.1882e-07,6.4769e-06,-1.9291e-05,6.6289e-05,0.27457,0.96157,2.3176e-05,1.4528e-05,0.00022765,-3.5828e-05,0.0045176,-8.9844e-10,0.0011472,0.00072139,0.0045705,0,0,0,0.073596,0.073622,0.073623,0.073596,0.037472,0.023714,0.038214,0.58642,0.37867,0.59716
0.07,6.4535e-07,4.0428e-07,8.9886e-06,-2.6181e-05,8.9649e-05,0.27457,0.96157,3.6619e-05,2.299e-05,0.00027537,-4.8952e-05,0.0052214,-1.6489e-09,0.0015511,0.00097737,0.0049822,0,0,0,0.0736,0.073625,0.073625,0.073599,0.043274,0.027473,0.04412,0.57398,0.3732,0.58421
0.08,1.0965e-06,6.8778e-07,1.1999e-05,-3.4095e-05,0.00011634,0.27457,0.96157,5.4389e-05,3.42e-05,0.00032749,-6.4013e-05,0.0059113,-2.7864e-09,0.0020123,0.0012707,0.0054524,0,0,0,0.073604,0.073628,0.073629,0.073603,0.048952,0.031178,0.049898,0.56165,0.36775,0.57136
0.09,1.7494e-06,1.0987e-06,1.5555e-05,-4.3024e-05,0.00014629,0.27457,0.96157,7.7052e-05,4.8526e-05,0.0003846,-8.097e-05,0.0065875,-4.4211e-09,0.0025297,0.0016008,0.0059798,0,0,0,0.073608,0.073632,0.073633,0.073607,0.054507,0.034828,0.055548,0.54943,0.36233,0.55864
0.1,2.6558e-06,1.6699e-06,1.971e-05,-5.2958e-05,0.00017944,0.27457,0.96157,0.00010517,6.6336e-05,0.00044727,-9.9783e-05,0.00725,-6.6746e-09,0.003102,0.0019671,0.006563,0,0,0,0.073613,0.073636,0.073637,0.073612,0.059941,0.038425,0.061071,0.53732,0.35692,0.54602
0.11,3.8727e-06,2.4382e-06,2.4521e-05,-6.3887e-05,0.00021571,0.27457,0.96157,0.00013927,8.7987e-05,0.00051605,-0.00012041,0.0078989,-9.6793e-09,0.0037281,0.0023691,0.0072008,0,0,0,0.073618,0.07364,0.073641,0.073617,0.065254,0.041967,0.066469,0.52531,0.35154,0.53352
0.12,5.4629e-06,3.4436e-06,3.0053e-05,-7.5801e-05,0.00025504,0.27457,0.96157,0.0001799,0.00011383,0.00059147,-0.00014282,0.0085344,-1.3578e-08,0.0044067,0.0028062,0.0078919,0,0,0,0.073623,0.073645,0.073646,0.073622,0.070448,0.045455,0.071742,0.51341,0.34618,0.52114
0.13,7.4943e-06,4.73e-06,3.6374e-05,-8.869e-05,0.00029736,0.27457,0.96157,0.00022758,0.00014423,0.00067406,-0.00016697,0.0091564,-1.8523e-08,0.0051367,0.003278,0.0086352,0,0,0,0.073629,0.073651,0.073652,0.073628,0.075523,0.04889,0.076892,0.50161,0.34084,0.50886
0.14,1.004e-05,6.3445e-06,4.3559e-05,-0.00010254,0.0003426,0.27457,0.96157,0.0002828,0.00017951,0.00076434,-0.00019281,0.0097652,-2.4674e-08,0.0059168,0.0037838,0.0094294,0,0,0,0.073635,0.073656,0.073657,0.073634,0.08048,0.052272,0.08192,0.48992,0.33552,0.4967
0.15,1.3177e-05,8.3376e-06,5.1688e-05,-0.00011735,0.0003907,0.27457,0.96157,0.00034608,0.00022002,0.00086281,-0.00022032,0.010361,-3.2202e-08,0.0067459,0.0043233,0.010273,0,0,0,0.073642,0.073662,0.073663,0.073641,0.085321,0.055601,0.086826,0.47834,0.33023,0.48465
0.16,1.699e-05,1.0763e-05,6.0845e-05,-0.00013311,0.0004416,0.27457,0.96157,0.00041788,0.00026608,0.00096996,-0.00024944,0.010943,-4.1283e-08,0.0076228,0.0048957,0.011165,0,0,0,0.073649,0.073669,0.07367,0.073648,0.090047,0.058877,0.091613,0.46685,0.32495,0.47271
0.17,2.1565e-05,1.3679e-05,7.1118e-05,-0.00014979,0.00049522,0.27457,0.96157,0.00049869,0.00031804,0.0010863,-0.00028015,0.011513,-5.2102e-08,0.0085464,0.0055006,0.012105,0,0,0,0.073656,0.073676,0.073677,0.073655,0.094659,0.0621,0.096281,0.45547,0.3197,0.46088
0.18,2.6995e-05,1.7145e-05,8.2602e-05,-0.00016741,0.00055151,0.27457,0.96157,0.00058896,0.0003762,0.0012122,-0.0003124,0.012069,-6.4848e-08,0.0095156,0.0061375,0.013091,0,0,0,0.073664,0.073683,0.073684,0.073662,0.099157,0.065271,0.10083,0.4442,0.31447,0.44916
0.19,3.3377e-05,2.1225e-05,9.5396e-05,-0.00018593,0.0006104,0.27457,0.96157,0.00068915,0.00044089,0.0013482,-0.00034616,0.012613,-7.9717e-08,0.010529,0.0068059,0.014121,0,0,0,0.073672,0.07369,0.073691,0.07367,0.10354,0.06839,0.10526,0.43303,0.30926,0.43755
0.2,4.0812e-05,2.5985e-05,0.0001096,-0.00020536,0.00067182,0.27457,0.96157,0.00079969,0.00051242,0.0014948,-0.00038139,0.013144,-9.6911e-08,0.011586,0.0075051,0.015196,0,0,0,0.07368,0.073698,0.073699,0.073679,0.10782,0.071456,0.10958,0.42196,0.30407,0.42605
0.21,4.9407e-05,3.1497e-05,0.00012533,-0.00022043,0.00073731,0.28143,0.95958,0.00092101,0.0005911,0.0016523,-0.00022289,0.013666,-1.1664e-07,0.012685,0.0082348,0.016313,0,0,0,0.073689,0.073706,0.073707,0.073687,0.11198,0.074471,0.11379,0.41099,0.29891,0.41466
0.22,5.927e-05,3.7832e-05,0.00014269,-0.00024087,0.00080385,0.28178,0.95948,0.0010535,0.00067722,0.0018212,-0.00024353,0.014173,-1.391e-07,0.013825,0.0089944,0.017471,0,0,0,0.073698,0.073715,0.073716,0.073696,0.11604,0.077435,0.11788,0.40013,0.29376,0.40337
0.23,7.0516e-05,4.5067e-05,0.00016179,-0.00026212,0.00087276,0.28212,0.95938,0.0011977,0.00077108,0.0020018,-0.00026497,0.014667,-1.6453e-07,0.015006,0.0097833,0.01867,0,0,0,0.073707,0.073724,0.073725,0.073706,0.11999,0.080347,0.12185,0.38937,0.28864,0.3922
0.24,8.3263e-05,5.3281e-05,0.00018276,-0.00028416,0.00094398,0.28247,0.95928,0.0013538,0.00087298,0.0021947,-0.0002872,0.015149,-1.9312e-07,0.016225,0.010601,0.019908,0,0,0,0.073716,0.073733,0.073734,0.073715,0.12383,0.083207,0.12572,0.37871,0.28354,0.38113
0.25,9.7633e-05,6.2554e-05,0.00020573,-0.00030698,0.0010175,0.28281,0.95917,0.0015223,0.0009832,0.0024001,-0.00031021,0.015618,-2.2511e-07,0.017482,0.011447,0.021184,0,0,0,0.073726,0.073742,0.073743,0.073725,0.12756,0.086017,0.12948,0.36814,0.27846,0.37018
0.26,0.00011375,7.2973e-05,0.00023081,-0.00033056,0.0010931,0.28316,0.95907,0.0017035,0.001102,0.0026185,-0.00033399,0.016076,-2.6071e-07,0.018776,0.012321,0.022497,0,0,0,0.073736,0.073752,0.073753,0.073735,0.13119,0.088777,0.13312,0.35768,0.2734,0.35932
0.27,0.00013175,8.4624e-05,0.00025814,-0.0003549,0.0011709,0.28351,0.95897,0.0018979,0.0012297,0.0028502,-0.00035852,0.016521,-3.0016e-07,0.020105,0.013223,0.023846,0,0,0,0.073747,0.073761,0.073763,0.073745,0.13471,0.091486,0.13666,0.34733,0.26837,0.34858
0.28,0.00015175,9.7598e-05,0.00028786,-0.00037999,0.0012508,0.28386,0.95887,0.0021057,0.0013666,0.0030955,-0.00038379,0.016955,-3.4366e-07,0.02147,0.014151,0.02523,0,0,0,0.073757,0.073772,0.073773,0.073756,0.13814,0.094144,0.1401,0.33707,0.26336,0.33794
0.29,0.00017391,0.00011199,0.0003201,-0.0004058,0.0013326,0.2842,0.95876,0.0023274,0.0015128,0.0033549,-0.00040978,0.017377,-3.9146e-07,0.022868,0.015105,0.026647,0,0,0,0.073768,0.073782,0.073784,0.073767,0.14146,0.096753,0.14342,0.32691,0.25836,0.32741
0.3,0.00019835,0.00012789,0.000355,-0.00043233,0.0014165,0.28455,0.95866,0.0025632,0.0016688,0.0036286,-0.00043648,0.017787,-4.4377e-07,0.024298,0.016086,0.028098,0,0,0,0.073779,0.073793,0.073794,0.073778,0.14467,0.099311,0.14664,0.31684,0.25339,0.31698
0.31,0.00022522,0.0001454,0.00039272,-0.00045956,0.0015022,0.2849,0.95856,0.0028135,0.0018346,0.003917,-0.00046388,0.018186,-5.0082e-07,0.025761,0.017091,0.02958,0,0,0,0.073791,0.073804,0.073805,0.073789,0.14779,0.10182,0.14976,0.30688,0.24845,0.30666
0.32,0.00025467,0.00016461,0.00043339,-0.00048749,0.0015898,0.28525,0.95845,0.0030785,0.0020107,0.0042203,-0.00049197,0.018573,-5.6285e-07,0.027254,0.018122,0.031093,0,0,0,0.073802,0.073815,0.073816,0.073801,0.15081,0.10428,0.15278,0.29702,0.24352,0.29644
0.33,0.00028684,0.00018564,0.00047718,-0.00051609,0.0016792,0.2856,0.95835,0.0033587,0.0021971,0.0045389,-0.00052073,0.018949,-6.3006e-07,0.028777,0.019177,0.032635,0,0,0,0.073814,0.073826,0.073828,0.073813,0.15373,0.10669,0.15569,0.28725,0.23862,0.28633
0.34,0.00032189,0.00020859,0.00052422,-0.00054537,0.0017703,0.28595,0.95824,0.0036542,0.0023943,0.0048731,-0.00055015,0.019314,-7.027e-07,0.030328,0.020256,0.034206,0,0,0,0.073826,0.073838,0.073839,0.073825,0.15656,0.10905,0.1585,0.27758,0.23374,0.27632
0.35,0.00035998,0.00023357,0.00057469,-0.00057529,0.001863,0.2863,0.95814,0.0039653,0.0026023,0.0052231,-0.00058021,0.019667,-7.8097e-07,0.031907,0.021358,0.035805,0,0,0,0.073839,0.07385,0.073851,0.073837,0.15929,0.11137,0.16122,0.26801,0.22888,0.26641
0.36,0.00040125,0.00026068,0.00062874,-0.00060586,0.0019575,0.28666,0.95803,0.0042924,0.0028215,0.0055893,-0.0006109,0.02001,-8.6511e-07,0.033514,0.022483,0.03743,0,0,0,0.073851,0.073862,0.073863,0.073849,0.16192,0.11363,0.16383,0.25854,0.22404,0.25661
0.37,0.00044588,0.00029003,0.00068653,-0.00063706,0.0020534,0.28701,0.95793,0.0046357,0.0030521,0.0059718,-0.00064221,0.020341,-9.5533e-07,0.035146,0.02363,0.039081,0,0,0,0.073864,0.073874,0.073876,0.073862,0.16446,0.11585,0.16635,0.24916,0.21922,0.24691
0.38,0.00049402,0.00032176,0.00074823,-0.00066888,0.0021509,0.28736,0.95782,0.0049954,0.0032942,0.006371,-0.00067413,0.020662,-1.0518e-06,0.036802,0.0248,0.040757,0,0,0,0.073877,0.073886,0.073888,0.073875,0.1669,0.11801,0.16877,0.23987,0.21443,0.23731
0.39,0.00054584,0.00035596,0.00081401,-0.00070131,0.0022499,0.28771,0.95771,0.0053718,0.0035481,0.006787,-0.00070664,0.020972,-1.1549e-06,0.038483,0.02599,0.042456,0,0,0,0.07389,0.073899,0.073901,0.073888,0.16925,0.12014,0.1711,0.23069,0.20966,0.22781
0.4,0.00060151,0.00039276,0.00088403,-0.00073432,0.0023502,0.28807,0.95761,0.0057651,0.0038141,0.0072202,-0.00073972,0.021272,-1.2646e-06,0.040187,0.027202,0.044179,0,0,0,0.073903,0.073912,0.073914,0.073901,0.17152,0.12221,0.17333,0.2216,0.20491,0.21842
0.41,0.0006612,0.00043228,0.00095847,-0.00076792,0.002452,0.28842,0.9575,0.0061756,0.0040922,0.0076707,-0.00077338,0.021561,-1.3813e-06,0.041913,0.028434,0.045923,0,0,0,0.073916,0.073925,0.073927,0.073914,0.17369,0.12423,0.17547,0.2126,0.20018,0.20912
0.42,0.00072508,0.00047464,0.0010375,-0.0008021,0.002555,0.28877,0.95739,0.0066035,0.0043828,0.0081387,-0.00080758,0.021839,-1.5051e-06,0.043661,0.029687,0.047688,0,0,0,0.07393,0.073938,0.07394,0.073928,0.17577,0.12621,0.17751,0.2037,0.19547,0.19993
0.43,0.00079333,0.00051998,0.0011213,-0.00083683,0.0026593,0.28913,0.95729,0.0070489,0.004686,0.0086245,-0.00084232,0.022108,-1.6362e-06,0.045428,0.030958,0.049473,0,0,0,0.073943,0.073951,0.073953,0.073941,0.17776,0.12814,0.17946,0.19489,0.19079,0.19084
0.44,0.00086612,0.00056841,0.0012101,-0.0008721,0.0027648,0.28948,0.95718,0.0075121,0.0050021,0.0091282,-0.00087759,0.022366,-1.7749e-06,0.047216,0.032249,0.051277,0,0,0,0.073957,0.073965,0.073966,0.073955,0.17967,0.13003,0.18133,0.18618,0.18613,0.18184
0.45,0.00094363,0.00062006,0.0013039,-0.00090791,0.0028715,0.28984,0.95707,0.0079933,0.0053311,0.0096501,-0.00091338,0.022614,-1.9213e-06,0.049021,0.033559,0.053099,0,0,0,0.073971,0.073978,0.07398,0.073969,0.18148,0.13187,0.1831,0.17756,0.18149,0.17295
0.46,0.001026,0.00067507,0.0014031,-0.00094425,0.0029792,0.2902,0.95696,0.0084926,0.0056733,0.01019,-0.00094966,0.022852,-2.0756e-06,0.050845,0.034887,0.054938,0,0,0,0.073985,0.073992,0.073994,0.073983,0.18322,0.13366,0.18479,0.16903,0.17687,0.16415
0.47,0.0011135,0.00073357,0.0015078,-0.00098109,0.0030881,0.29055,0.95685,0.0090102,0.0060289,0.010749,-0.00098643,0.02308,-2.2379e-06,0.052685,0.036232,0.056794,0,0,0,0.073999,0.074006,0.074008,0.073997,0.18487,0.1354,0.18639,0.16059,0.17228,0.15545
0.48,0.0012063,0.0007957,0.0016182,-0.0010184,0.0031979,0.29091,0.95674,0.0095463,0.006398,0.011326,-0.0010237,0.023298,-2.4086e-06,0.054542,0.037594,0.058666,0,0,0,0.074014,0.07402,0.074022,0.074012,0.18643,0.1371,0.1879,0.15225,0.16771,0.14685
0.49,0.0013045,0.00086158,0.0017344,-0.0010563,0.0033088,0.29127,0.95664,0.010101,0.0067808,0.011922,-0.0010614,0.023507,-2.5877e-06,0.056414,0.038974,0.060552,0,0,0,0.074028,0.074034,0.074036,0.074026,0.18791,0.13876,0.18932,0.144,0.16316,0.13835
0.5,0.0014084,0.00093136,0.0018567,-0.0010946,0.0034205,0.29163,0.95653,0.010675,0.0071775,0.012537,-0.0010995,0.023706,-2.7753e-06,0.0583,0.040369,0.062452,0,0,0,0.074043,0.074048,0.07405,0.074041,0.18931,0.14037,0.19066,0.13584,0.15863,0.12995
0.51,0.0015181,0.0010052,0.0019852,-0.0011334,0.0035331,0.29198,0.95642,0.011267,0.0075883,0.013171,-0.0011381,0.023896,-2.9718e-06,0.0602,0.041781,0.064365,0,0,0,0.074057,0.074062,0.074064,0.074055,0.19063,0.14193,0.19192,0.12777,0.15413,0.12164
0.52,0.0016338,0.0010832,0.0021202,-0.0011726,0.0036465,0.29234,0.95631,0.011879,0.0080132,0.013825,-0.0011772,0.024076,-3.1771e-06,0.062112,0.043208,0.06629,0,0,0,0.074072,0.074077,0.074079,0.07407,0.19187,0.14345,0.1931,0.1198,0.14964,0.11343
0.53,0.0017557,0.0011655,0.0022617,-0.0012123,0.0037608,0.2927,0.9562,0.012509,0.0084525,0.014497,-0.0012166,0.024248,-3.3915e-06,0.064037,0.04465,0.068227,0,0,0,0.074087,0.074091,0.074093,0.074085,0.19302,0.14492,0.19419,0.11191,0.14518,0.10531
