t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,1.6,0,0.1,0,0,0.89592,0.44421,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.073584,0.073617,0.073617,0.073584,0,0,0,-0.53993,0.70967,0.4874
0.01,1.6,2.944e-10,0.1,-2.0198e-06,1.0017e-06,0.89592,0.44421,-8.9453e-08,1.1763e-07,3.4081e-05,2.4411e-07,0.00089841,3.0632e-13,-2.6783e-05,3.5224e-05,0.0034242,0,0,0,0.073584,0.073617,0.073617,0.073584,-0.0053352,0.007019,0.0048273,-0.52713,0.69416,0.47807
0.02,1.6,4.6897e-09,0.1,-8.0169e-06,3.9791e-06,0.89592,0.44421,-7.1137e-07,9.3587e-07,6.8644e-05,1.2918e-06,0.0017764,4.846e-12,-0.00010628,0.00013987,0.0034962,0,0,0,0.073585,0.073617,0.073617,0.073585,-0.010543,0.013884,0.0095617,-0.51446,0.67878,0.46882
0.03,1.6,2.3637e-08,0.1,-1.7899e-05,8.8905e-06,0.89592,0.44421,-2.3865e-06,3.1412e-06,0.00010416,3.1247e-06,0.0026342,2.4256e-11,-0.00023722,0.00031239,0.0036151,0,0,0,0.073586,0.073618,0.073618,0.073587,-0.015625,0.020595,0.014204,-0.50192,0.66355,0.45965
0.04,1.6,7.4376e-08,0.1,-3.1573e-05,1.5695e-05,0.89592,0.44421,-5.6231e-06,7.4048e-06,0.0001411,5.7246e-06,0.0034719,7.5793e-11,-0.00041836,0.00055126,0.00378,0,0,0,0.073588,0.073619,0.073619,0.073588,-0.020582,0.027155,0.018755,-0.48949,0.64844,0.45055
0.05,1.6,1.8078e-07,0.1,-4.8948e-05,2.4351e-05,0.89592,0.44421,-1.0917e-05,1.4383e-05,0.00017991,9.0735e-06,0.0042896,1.8294e-10,-0.00064845,0.00085498,0.0039899,0,0,0,0.07359,0.07362,0.07362,0.07359,-0.025415,0.033564,0.023215,-0.4772,0.63348,0.44153
0.06,1.6,3.7321e-07,0.10001,-6.9934e-05,3.4817e-05,0.89592,0.44421,-1.8751e-05,2.4716e-05,0.00022105,1.3153e-05,0.0050877,3.7501e-10,-0.00092626,0.0012221,0.004244,0,0,0,0.073592,0.073621,0.073621,0.073592,-0.030126,0.039825,0.027586,-0.46503,0.61864,0.43258
0.07,1.6,6.8837e-07,0.10001,-9.4441e-05,4.7055e-05,0.89592,0.44421,-2.9597e-05,3.903e-05,0.00026494,1.7946e-05,0.0058661,6.8678e-10,-0.0012506,0.001651,0.0045414,0,0,0,0.073595,0.073623,0.073623,0.073595,-0.034716,0.045938,0.031867,-0.45298,0.60394,0.4237
0.08,1.6,1.1691e-06,0.10001,-0.00012238,6.1023e-05,0.89592,0.44421,-4.3913e-05,5.7937e-05,0.00031201,2.3433e-05,0.0066252,1.1581e-09,-0.0016202,0.0021403,0.0048811,0,0,0,0.073598,0.073626,0.073625,0.073598,-0.039186,0.051904,0.03606,-0.44105,0.58938,0.41491
0.09,1.6,1.8644e-06,0.10002,-0.00015366,7.6681e-05,0.89592,0.44421,-6.2148e-05,8.2033e-05,0.0003627,2.9597e-05,0.007365,1.8337e-09,-0.0020339,0.0026886,0.0052623,0,0,0,0.073601,0.073628,0.073628,0.073601,-0.043538,0.057726,0.040165,-0.42925,0.57494,0.40618
0.1,1.6,2.829e-06,0.10002,-0.0001882,9.3991e-05,0.89592,0.44421,-8.4734e-05,0.0001119,0.00041739,3.6421e-05,0.0080857,2.7624e-09,-0.0024905,0.0032944,0.0056841,0,0,0,0.073604,0.073631,0.073631,0.073605,-0.047772,0.063404,0.044184,-0.41757,0.56064,0.39753
0.11,1.6,4.1235e-06,0.10002,-0.00022592,0.00011291,0.89592,0.44421,-0.0001121,0.00014811,0.00047651,4.3887e-05,0.0087875,3.9973e-09,-0.0029889,0.0039562,0.0061457,0,0,0,0.073608,0.073634,0.073634,0.073608,-0.051889,0.068939,0.048116,-0.40601,0.54647,0.38895
