t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,2,0,0,0.66784,0.7443,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.10056,0.10061,0.10061,0.10056,0,0,0,0.14459,1.3389,-1.03
0.01,6.0314e-11,5.5531e-10,2,-2.2729e-06,2.5353e-06,0.66784,0.7443,2.4132e-08,2.2187e-07,3.3829e-05,1.2478e-06,0.0013569,2.3654e-12,7.243e-06,6.6434e-05,0.0033489,0,0,0,0.10056,0.10061,0.10061,0.10056,0.0014499,0.013236,-0.010189,0.14539,1.3084,-1.0078
0.02,9.6608e-10,8.8444e-09,2,-9.0133e-06,1.0074e-05,0.66784,0.7443,1.9332e-07,1.7648e-06,6.6641e-05,6.6181e-06,0.0026832,3.7545e-11,2.9024e-05,0.00026371,0.003197,0,0,0,0.10056,0.10061,0.10061,0.10056,0.0029076,0.026169,-0.020157,0.14614,1.2782,-0.98585
0.03,4.8961e-09,4.457e-08,2,-2.0104e-05,2.2517e-05,0.66784,0.7443,6.5333e-07,5.9222e-06,9.744e-05,1.6045e-05,0.0039793,1.8855e-10,6.542e-05,0.00058881,0.0029464,0,0,0,0.10056,0.10061,0.10061,0.10056,0.0043727,0.038801,-0.029907,0.14687,1.2483,-0.96407
0.04,1.549e-08,1.4022e-07,2,-3.5431e-05,3.9767e-05,0.66784,0.7443,1.5507e-06,1.3957e-05,0.00012525,2.9463e-05,0.0052456,5.9118e-10,0.0001165,0.0010387,0.0025995,0,0,0,0.10056,0.1006,0.1006,0.10056,0.0058448,0.051136,-0.03944,0.14755,1.2187,-0.94249
0.05,3.7858e-08,3.4075e-07,2,-5.4879e-05,6.1725e-05,0.66784,0.7443,3.0325e-06,2.7103e-05,0.00014912,4.6807e-05,0.0064823,1.4318e-09,0.00018234,0.0016106,0.0021584,0,0,0,0.10055,0.1006,0.1006,0.10055,0.0073236,0.063176,-0.048757,0.14821,1.1893,-0.9211
0.06,7.8582e-08,7.0334e-07,2,-7.8337e-05,8.8296e-05,0.66784,0.7443,5.2468e-06,4.6565e-05,0.00016811,6.8014e-05,0.0076899,2.9454e-09,0.000263,0.0023013,0.0016251,0,0,0,0.10055,0.10059,0.10059,0.10055,0.0088088,0.074924,-0.057862,0.14883,1.1603,-0.89991
0.07,1.4573e-07,1.297e-06,2,-0.00010569,0.00011938,0.66784,0.7443,8.342e-06,7.3516e-05,0.00018132,9.302e-05,0.0088687,5.4132e-09,0.00035853,0.0031081,0.0010018,0,0,0,0.10054,0.10058,0.10058,0.10054,0.0103,0.086383,-0.066756,0.14941,1.1315,-0.87892
0.08,2.4886e-07,2.2025e-06,2,-0.00013684,0.0001549,0.66784,0.7443,1.2467e-05,0.0001091,0.00018785,0.00012176,0.010019,9.1613e-09,0.00046901,0.004028,0.00029067,0,0,0,0.10053,0.10058,0.10058,0.10054,0.011797,0.097554,-0.075441,0.14996,1.103,-0.85812
0.09,3.9901e-07,3.5116e-06,2,-0.00017166,0.00019474,0.66784,0.7443,1.7772e-05,0.00015444,0.00018685,0.00015418,0.011141,1.4558e-08,0.00059449,0.0050582,-0.0005063,0,0,0,0.10053,0.10057,0.10057,0.10053,0.013299,0.10844,-0.083919,0.15047,1.0747,-0.83752
0.1,6.0874e-07,5.3275e-06,2,-0.00021006,0.00023882,0.66784,0.7443,2.4407e-05,0.00021063,0.00017745,0.00019021,0.012235,2.2012e-08,0.00073501,0.0061959,-0.001387,0,0,0,0.10052,0.10056,0.10056,0.10052,0.014806,0.11905,-0.092192,0.15096,1.0467,-0.81712
0.11,8.9209e-07,7.7638e-06,2,-0.00025192,0.00028705,0.66784,0.7443,3.2523e-05,0.00027871,0.00015883,0.00022979,0.013302,3.1972e-08,0.00089063,0.0074383,-0.0023495,0,0,0,0.10051,0.10055,0.10055,0.10051,0.016318,0.12938,-0.10026,0.15141,1.019,-0.79691
0.12,1.2646e-06,1.0945e-05,2,-0.00029715,0.00033933,0.66784,0.7443,4.227e-05,0.00035973,0.00013019,0.00027287,0.014341,4.4922e-08,0.0010614,0.0087825,-0.0033916,0,0,0,0.1005,0.10054,0.10054,0.1005,0.017834,0.13943,-0.10813,0.15182,0.99158,-0.77689
