t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,1,0,0,0.6725,0.74009,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.10056,0.10062,0.10062,0.10056,0,0,0,0.16026,1.6813,-0.080845
0.01,6.6863e-11,6.9712e-10,1,-2.8691e-06,3.1599e-06,0.6725,0.74009,2.6754e-08,2.7851e-07,3.3987e-05,1.504e-06,0.0017004,3.5746e-12,8.0305e-06,8.3383e-05,0.003396,0,0,0,0.10056,0.10062,0.10062,0.10056,0.0016078,0.016609,-0.00080201,0.1613,1.6406,-0.079559
0.02,1.0712e-09,1.11e-08,1,-1.1372e-05,1.2549e-05,0.6725,0.74009,2.1437e-07,2.2145e-06,6.7893e-05,7.9771e-06,0.0033598,5.6739e-11,3.219e-05,0.00033083,0.003384,0,0,0,0.10056,0.10062,0.10062,0.10056,0.0032258,0.032813,-0.0015912,0.16229,1.6003,-0.078281
0.03,5.4298e-09,5.5919e-08,1,-2.5353e-05,2.8034e-05,0.6725,0.74009,7.2465e-07,7.4285e-06,0.00010164,1.934e-05,0.0049786,2.8495e-10,7.2578e-05,0.0007383,0.0033642,0,0,0,0.10056,0.10062,0.10062,0.10056,0.0048535,0.048615,-0.0023677,0.16324,1.5604,-0.077012
0.04,1.7182e-08,1.7587e-07,1,-4.4659e-05,4.9482e-05,0.6725,0.74009,1.7204e-06,1.7501e-05,0.00013515,3.5512e-05,0.0065573,8.934e-10,0.00012929,0.0013018,0.0033367,0,0,0,0.10056,0.10062,0.10062,0.10056,0.0064905,0.064021,-0.0031315,0.16416,1.5209,-0.075752
0.05,4.2001e-08,4.2726e-07,1,-6.9138e-05,7.6759e-05,0.6725,0.74009,3.3652e-06,3.3972e-05,0.00016835,5.6416e-05,0.0080962,2.1637e-09,0.00020242,0.0020174,0.0033016,0,0,0,0.10056,0.10061,0.10061,0.10056,0.0081365,0.079034,-0.0038827,0.16503,1.4817,-0.074501
0.06,8.7198e-08,8.8164e-07,1,-9.8639e-05,0.00010974,0.6725,0.74009,5.8237e-06,5.8343e-05,0.00020116,8.1973e-05,0.0095958,4.4507e-09,0.00029205,0.0028812,0.0032591,0,0,0,0.10056,0.10061,0.10061,0.10056,0.009791,0.093657,-0.0046215,0.16587,1.443,-0.073258
0.07,1.6174e-07,1.6253e-06,1,-0.00013301,0.00014829,0.6725,0.74009,9.2615e-06,9.2076e-05,0.00023351,0.0001121,0.011056,8.1793e-09,0.00039827,0.0038893,0.0032092,0,0,0,0.10056,0.10061,0.10061,0.10056,0.011454,0.1079,-0.0053479,0.16666,1.4047,-0.072025
0.08,2.7625e-07,2.7591e-06,1,-0.00017212,0.00019228,0.6725,0.74009,1.3845e-05,0.0001366,0.00026532,0.00014673,0.012478,1.3841e-08,0.00052115,0.0050378,0.0031522,0,0,0,0.10056,0.10061,0.10061,0.10056,0.013124,0.12175,-0.006062,0.16742,1.3668,-0.0708
0.09,4.4301e-07,4.3978e-06,1,-0.0002158,0.00024158,0.6725,0.74009,1.974e-05,0.00019329,0.00029653,0.00018578,0.013862,2.1993e-08,0.00066077,0.0063231,0.003088,0,0,0,0.10056,0.10061,0.10061,0.10056,0.014802,0.13523,-0.0067639,0.16814,1.3292,-0.069583
0.1,6.7598e-07,6.67e-06,1,-0.00026392,0.00029608,0.6725,0.74009,2.7116e-05,0.0002635,0.00032706,0.00022918,0.015208,3.325e-08,0.00081721,0.0077412,0.0030169,0,0,0,0.10056,0.10061,0.10061,0.10056,0.016487,0.14834,-0.0074537,0.16882,1.2921,-0.068376
